City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Naryan-Mar,RU,2022-11-21 21:05:17,67.6713,53.087,261.93,86,100,3.55
259,Talara,PE,2022-11-21 21:05:18,-4.5772,-81.2719,296.57,64,0,6.69
260,Byron Bay,AU,2022-11-21 21:05:18,-28.65,153.6167,294.66,42,100,5.62
261,Nampula,MZ,2022-11-21 21:00:22,-15.1165,39.2666,296.0,78,0,2.0
262,Mar Del Plata,AR,2022-11-21 21:00:29,-38.0023,-57.5575,288.76,89,100,8.49
263,Peleduy,RU,2022-11-21 21:05:20,59.6289,112.7406,256.98,97,100,2.12
264,Bela Cruz,BR,2022-11-21 21:05:21,-3.0506,-40.1678,299.83,72,93,6.28
265,Codrington,AU,2022-11-21 21:05:22,-38.2667,141.9667,284.45,86,100,8.52
266,Vanimo,PG,2022-11-21 21:05:23,-2.6741,141.3028,299.19,85,100,0.63
267,Hamilton,US,2022-11-21 21:05:23,39.1834,-84.5333,283.01,25,0,6.17
268,Montepuez,MZ,2022-11-21 21:05:24,-13.1256,38.9997,295.38,78,47,3.29
269,Rovnoye,RU,2022-11-21 21:05:25,50.7765,46.0509,275.87,98,100,4.17
270,Port Lincoln,AU,2022-11-21 21:02:25,-34.7333,135.8667,286.28,66,33,4.88
271,High Prairie,CA,2022-11-21 21:00:51,55.4334,-116.4858,276.35,80,73,3.67
272,Osinki,RU,2022-11-21 21:05:26,52.8432,49.5132,271.11,97,99,2.65
273,Holalkere,IN,2022-11-21 21:05:27,14.0333,76.1833,293.25,68,100,2.52
274,Saint-Joseph,RE,2022-11-21 21:05:28,-21.3667,55.6167,295.36,77,3,0.28
275,Saldanha,ZA,2022-11-21 21:05:28,-33.0117,17.9442,290.09,77,94,5.87
276,Chuy,UY,2022-11-21 21:05:29,-33.6971,-53.4616,292.53,96,100,3.67
277,Humboldt,US,2022-11-21 21:05:30,40.6665,-123.9178,286.55,28,52,1.77
278,Talakan,RU,2022-11-21 21:05:31,50.3167,130.3667,256.17,99,100,0.54
279,Meulaboh,ID,2022-11-21 21:06:31,4.1363,96.1285,297.39,90,99,1.69
280,Camacha,PT,2022-11-21 21:06:33,33.0833,-16.3333,290.83,77,40,4.12
281,Pooler,US,2022-11-21 21:06:33,32.1155,-81.2471,288.19,65,100,4.63
282,Lundazi,ZM,2022-11-21 21:06:34,-12.2929,33.1782,296.58,47,5,4.34
283,Kieta,PG,2022-11-21 21:06:34,-6.2167,155.6333,300.95,70,11,1.19
284,Lat Yao,TH,2022-11-21 21:06:35,15.751,99.7893,297.04,87,7,1.24
285,Mayo,US,2022-11-21 21:06:35,38.8876,-76.5119,282.93,54,0,6.17
286,Xinyang,CN,2022-11-21 21:06:36,32.1228,114.0656,284.75,93,100,5.1
287,Carutapera,BR,2022-11-21 21:06:37,-1.195,-46.02,299.65,75,55,3.19
288,Svetlaya,RU,2022-11-21 21:06:37,46.5389,138.3297,268.91,54,0,3.89
289,Walvis Bay,NA,2022-11-21 21:06:38,-22.9575,14.5053,290.42,79,22,4.87
290,Jinsha,CN,2022-11-21 21:06:38,32.0898,121.0735,288.7,96,100,1.95
291,Derzhavinsk,KZ,2022-11-21 21:06:39,51.1,66.3167,261.09,98,74,2.03
292,Masindi,UG,2022-11-21 21:06:39,1.6744,31.715,291.92,93,98,0.55
293,Geraldton,AU,2022-11-21 21:06:31,-28.7667,114.6,296.38,21,70,3.09
294,La Ronge,CA,2022-11-21 21:06:40,55.1001,-105.2842,270.76,93,100,4.18
295,Bilma,NE,2022-11-21 21:06:41,18.6853,12.9164,294.44,16,53,4.9
