City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Komsomolskiy,UZ,40.4272,71.7189,47.12,81,75,4.61,broken clouds
185,Itarema,BR,-2.9248,-39.9167,79.03,77,97,13.31,overcast clouds
186,Karasjok,NO,69.4719,25.5112,33.03,92,100,11.86,overcast clouds
187,Bara,NG,10.3744,10.7288,71.22,22,17,7.25,few clouds
188,Ugoofaaru,MV,5.6667,73.0,80.1,73,93,0.54,overcast clouds
189,Camacupa,AO,-12.0167,17.4833,59.79,99,99,4.12,overcast clouds
190,Lorengau,PG,-2.0226,147.2712,84.27,65,43,7.2,scattered clouds
191,Souillac,MU,-20.5167,57.5167,74.73,74,100,3.76,overcast clouds
192,Sao Filipe,CV,14.8961,-24.4956,76.05,65,84,10.71,broken clouds
193,Ballina,AU,-28.8667,153.5667,75.02,89,100,5.32,overcast clouds
194,Jalu,LY,29.0331,21.5482,56.61,68,0,5.26,clear sky
195,Saint-Joseph,RE,-21.3667,55.6167,70.18,78,83,5.61,broken clouds
196,New Norfolk,AU,-42.7826,147.0587,53.92,63,78,5.01,broken clouds
197,Bedele,ET,8.456,36.353,53.85,92,27,2.57,scattered clouds
198,Bauchi,NG,10.5,10.0,66.7,25,23,4.36,few clouds
199,Kaitangata,NZ,-46.2817,169.8464,56.98,72,100,4.59,overcast clouds
200,Kambar,PK,27.5868,68.001,67.15,17,81,3.85,broken clouds
201,Say,NE,13.1007,2.3689,74.64,17,100,8.16,overcast clouds
202,Rocha,UY,-34.4833,-54.3333,70.29,73,4,14.07,clear sky
203,Traverse City,US,44.7631,-85.6206,39.4,62,75,3.44,broken clouds
204,Port Elizabeth,ZA,-33.918,25.5701,66.31,90,27,15.01,scattered clouds
205,Tema,GH,5.667,-0.0166,80.83,76,80,8.97,light rain
206,Aklavik,CA,68.2191,-135.0107,-24.68,93,53,5.01,broken clouds
207,Constitucion,CL,-35.3333,-72.4167,62.55,77,10,9.33,clear sky
208,Yuancheng,CN,36.652,107.7896,17.64,20,66,15.93,broken clouds
209,Bad Munstereifel,DE,50.55,6.7667,43.99,96,100,3.4,overcast clouds
210,Igarka,RU,67.4667,86.5833,2.71,97,99,6.89,overcast clouds
211,Miri,MY,4.4148,114.0089,75.7,92,44,3.76,scattered clouds
212,Terrace,CA,54.5163,-128.6035,29.25,48,31,3.22,scattered clouds
213,Lima,PE,-12.0432,-77.0282,68.25,73,100,4.61,overcast clouds
214,Roald,NO,62.5833,6.1333,49.12,61,75,4.61,broken clouds
215,Gimli,CA,50.6336,-96.9907,30.67,84,99,15.77,overcast clouds
216,Hearst,CA,49.6835,-83.6665,25.75,70,100,5.46,overcast clouds
217,Cockburn Town,TC,21.4612,-71.1419,80.06,69,68,12.33,broken clouds
218,Rio Grande,BR,-32.035,-52.0986,75.31,86,4,14.63,clear sky
219,Bonavista,CA,48.6499,-53.1147,37.69,96,100,23.0,light rain
220,Esperance,AU,-33.8667,121.9,55.74,78,0,10.74,clear sky
221,Ikalamavony,MG,-21.15,46.5833,73.06,51,71,4.34,broken clouds
